# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 13 Apr 2026 03:01:08 +0200
#
# IP	number of (black)lists
#
135.237.126.160	5
135.237.127.94	5
136.228.161.66	5
137.184.228.138	5
137.255.13.209	5
138.68.171.133	5
138.124.7.7	5
138.204.127.54	5
139.9.183.108	5
139.59.47.107	5
139.59.170.85	5
141.98.234.187	5
141.101.151.37	5
142.248.80.38	5
142.248.80.163	5
143.244.152.105	5
143.255.141.221	5
144.2.91.96	5
144.76.40.50	5
146.190.218.245	5
147.50.227.79	5
147.185.132.22	5
147.185.132.42	5
147.185.132.51	5
147.185.132.52	5
147.185.132.72	5
147.185.132.82	5
147.185.132.99	5
147.185.132.100	5
147.185.132.117	5
147.185.132.138	5
147.185.132.141	5
147.185.132.143	5
147.185.132.168	5
147.185.132.171	5
147.185.132.177	5
147.185.132.178	5
147.185.132.195	5
147.185.132.198	5
147.185.132.212	5
147.185.132.234	5
147.185.132.237	5
147.185.133.6	5
147.185.133.21	5
147.185.133.33	5
147.185.133.40	5
147.185.133.62	5
147.185.133.65	5
147.185.133.67	5
147.185.133.68	5
147.185.133.71	5
147.185.133.78	5
147.185.133.93	5
147.185.133.101	5
147.185.133.125	5
147.185.133.148	5
147.185.133.152	5
147.185.133.168	5
147.185.133.171	5
147.185.133.174	5
147.185.133.201	5
147.185.133.204	5
147.185.133.205	5
147.185.133.206	5
147.185.133.209	5
147.185.133.213	5
147.185.133.226	5
147.185.133.238	5
147.185.133.246	5
147.185.133.254	5
148.66.132.204	5
148.153.188.246	5
149.13.56.148	5
149.88.88.251	5
150.107.36.236	5
150.138.115.76	5
150.241.74.162	5
151.115.59.100	5
151.115.62.54	5
151.115.79.175	5
151.115.167.156	5
151.242.30.119	5
152.32.128.214	5
152.32.129.17	5
152.32.132.215	5
152.32.140.22	5
152.32.144.167	5
152.32.151.121	5
152.32.156.117	5
152.32.156.158	5
152.32.159.79	5
152.32.183.231	5
152.32.207.179	5
152.32.210.228	5
152.32.212.41	5
152.32.212.149	5
152.32.226.8	5
152.32.235.96	5
152.32.239.90	5
152.42.219.80	5
153.126.180.250	5
154.12.26.241	5
154.18.197.35	5
154.81.15.63	5
154.125.64.209	5
154.209.4.208	5
154.221.27.234	5
156.227.232.198	5
156.238.252.133	5
157.66.26.151	5
157.66.34.121	5
158.51.96.38	5
158.220.120.76	5
159.65.70.164	5
159.146.11.164	5
159.223.26.186	5
159.223.73.209	5
159.223.94.24	5
160.119.76.55	5
161.49.89.39	5
161.97.123.82	5
162.216.149.8	5
162.216.149.25	5
162.216.149.26	5
162.216.149.29	5
162.216.149.44	5
162.216.149.47	5
162.216.149.60	5
162.216.149.63	5
162.216.149.67	5
162.216.149.71	5
162.216.149.72	5
162.216.149.91	5
162.216.149.100	5
162.216.149.117	5
162.216.149.156	5
162.216.149.158	5
162.216.149.169	5
162.216.149.182	5
162.216.149.202	5
162.216.149.203	5
162.216.149.215	5
162.216.149.217	5
162.216.149.224	5
162.216.149.228	5
162.216.149.229	5
162.216.149.250	5
162.216.150.7	5
162.216.150.26	5
162.216.150.42	5
162.216.150.53	5
162.216.150.56	5
162.216.150.67	5
162.216.150.74	5
162.216.150.89	5
162.216.150.117	5
162.216.150.150	5
162.216.150.175	5
162.216.150.176	5
162.216.150.185	5
162.216.150.197	5
162.216.150.198	5
162.216.150.200	5
162.216.150.201	5
162.216.150.203	5
162.216.150.204	5
162.216.150.208	5
162.216.150.216	5
162.216.150.226	5
162.216.150.245	5
162.216.150.249	5
163.7.1.156	5
163.7.6.74	5
163.7.6.154	5
163.7.8.90	5
163.7.9.84	5
163.172.131.23	5
163.172.181.174	5
164.90.225.199	5
164.92.196.222	5
164.92.253.219	5
165.22.184.62	5
165.154.5.173	5
165.154.5.204	5
165.154.6.166	5
165.154.11.37	5
165.154.11.247	5
165.154.22.250	5
165.154.40.205	5
165.154.40.244	5
165.154.41.13	5
165.154.41.213	5
165.154.105.128	5
165.154.120.223	5
165.154.120.253	5
165.154.129.188	5
165.154.129.201	5
165.154.129.220	5
165.154.138.3	5
165.154.163.10	5
165.154.172.72	5
165.154.172.111	5
165.154.172.244	5
165.154.173.120	5
165.154.173.211	5
165.227.139.253	5
165.227.144.20	5
165.232.167.235	5
167.94.146.48	5
167.94.146.63	5
167.99.142.36	5
167.172.203.111	5
170.233.151.14	5
171.231.197.53	5
171.243.149.220	5
171.244.37.96	5
171.244.37.103	5
172.104.11.4	5
172.104.210.105	5
172.174.244.189	5
172.174.244.235	5
172.202.104.157	5
172.202.118.10	5
172.202.118.11	5
172.202.118.23	5
172.203.245.82	5
172.203.245.192	5
172.215.144.32	5
172.236.228.39	5
172.236.228.193	5
